"family_code","family","n","draws","units","threads","tape_mib","eval_mib","peak_mib","seconds","r_version","platform","tmb_version","rcppeigen_version","cxx"
0,"famoye",500,50,25000,1,45.5,15.83984375,265.5234375,0.656321048736572,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",1000,50,50000,1,77.85546875,31.59765625,547.39453125,1.29961013793945,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",2000,50,1e+05,1,124.47265625,42.453125,964.21875,2.49068593978882,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",4000,50,2e+05,1,229.203125,126.12890625,2125.88671875,5.5025360584259,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",500,100,50000,1,80.1015625,-2.22265625,535.13671875,1.2408549785614,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",1000,100,1e+05,1,123.4375,42.2578125,962.61328125,2.43189311027527,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",2000,100,2e+05,1,219.328125,126.1953125,2112.71484375,5.37173509597778,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",4000,100,4e+05,1,461.05859375,252.1015625,4053.92578125,10.4173710346222,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",500,200,1e+05,1,135.30859375,39.77734375,974.5,2.62882709503174,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",1000,200,2e+05,1,230.08203125,125.796875,2122.5234375,5.3519070148468,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",2000,200,4e+05,1,461.80859375,252.2890625,4055.3125,10.4605221748352,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
0,"famoye",4000,200,8e+05,1,925.2109375,503.95703125,8930.0078125,21.8547401428223,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
-1,"independence",1000,100,1e+05,1,75.27734375,33.26953125,582.40625,1.74000310897827,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
1,"frank",1000,100,1e+05,1,324.0625,180.05078125,3141.7578125,7.21201205253601,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
2,"gaussian",1000,100,1e+05,1,105.33984375,28.171875,816.46484375,21.5434420108795,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
3,"clayton",1000,100,1e+05,1,117.59375,30.24609375,1043.3046875,4.14879107475281,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
-1,"independence",2000,100,2e+05,1,156.01953125,46.40625,1219.3671875,3.61333608627319,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
1,"frank",2000,100,2e+05,1,648.76171875,368.91015625,6478.140625,14.7840449810028,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
2,"gaussian",2000,100,2e+05,1,198.48828125,56.5234375,1738.69921875,98.573310136795,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
3,"clayton",2000,100,2e+05,1,191.2890625,102.921875,2256.71484375,8.53042197227478,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
-1,"independence",1000,200,2e+05,1,136.5,54.6953125,1198.29296875,3.51248908042908,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
1,"frank",1000,200,2e+05,1,647.50390625,359.9140625,6476.8125,14.5655930042267,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
2,"gaussian",1000,200,2e+05,1,230.140625,36.0234375,1749.67578125,43.2357199192047,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
3,"clayton",1000,200,2e+05,1,187.73828125,100.79296875,2250.15625,8.59933400154114,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
-1,"independence",2000,200,4e+05,1,274.8203125,133.28125,2208.04296875,7.15060615539551,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
1,"frank",2000,200,4e+05,1,1323.05859375,737.7890625,14311.16796875,32.2476079463959,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
2,"gaussian",2000,200,4e+05,1,418.87109375,112.91796875,3131.75390625,86.1636898517609,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
3,"clayton",2000,200,4e+05,1,406.171875,205.42578125,4343.22265625,17.3690841197968,"4.5.1","x86_64-w64-mingw32","1.9.21","0.3.4.0.2",NA
